smiles,ox
OCC1CCCC1,6.606816952
CC(C1COC1)N,5.761959446
OCCC(CO)N,5.750719505
CNCC(NC)C,4.725297325
CCCCC(=O)N,6.682119794
CC1CN2C(C1)C2,5.679914353
CC(CC1CC1)O,6.338212134
CC1(O)COCC1,6.241069395
CCC(OC)(C)C,6.338505827
C1CC2CC(C1)C2,6.404517391
CC(=C)CC=NN,5.582844324
CC1NC1(C)C,5.609640831
CC12C=CC(C1)C2,5.679385854
NCC1(C)CCC1,5.570813347
C=CC(C=O)(C)C,6.364267784
COCCC(C)C,6.522091265
CCN(C(C)C)C,4.78170487
CCCCC=C,6.509944504
CC1(O)CC1(C)O,4.820730263
CCC(=C)C(N)C,5.576257423
OCCCC(N)C,5.734508068
CCC1CCC1C,6.283410497
CN=CNCCO,5.608574906
NCC(=C)C1CN1,5.887013081
CC1C=CC(O1)C,6.082513874
CC1=CCC=CC1,5.667262467
CNCCNC=O,5.368429213
CC1CC(C1)N,5.039910688
CC(=CC)C(=N)N,5.781735875
CC1CCC2N1C2,5.756626093
CCC1CNN=C1,5.181371491
NCC1COCC1,5.688770004
OCC(=N)N(C)C,5.79506078
CC(CC)CC=C,6.472329152
CC(CC1CC1)N,5.617841694
NCC1(CN)OC1,5.530971341
C1NCC2(C1)CC2,5.122646787
CCC(C(=N)N)O,5.934088857
CC=CC(C=C)N,5.67616152
CCC(=C(C)C)C,5.454261615
CC1(N)CC1CO,4.410853652
CC1=C(C)CCC1,5.417410168
C=CC1=CCCC1,5.588478199
C1COC2C(C1)C2,5.811756716
C=CC1COCC1,6.421938537
CCN1CC1CC,5.630029816
CCC1(NC)CC1,4.544329705
NCCC(=C)CC,5.609840862
C=CCC(=C)C=C,5.960909556
CC=CC#CCC,5.81336695
CC1(CCN)CN1,5.697840407
CONC(=N)CC,5.46815366
CC=CCC#CC,6.131639784
NCCC1CCO1,5.656037629
COC1(C)CNC1,4.748860493
CNCCCN,5.159641147
CC(=O)C(O)(C)C,6.058714239
CC=COC(=C)C,5.432651301
C#CCC=C(C)C,6.106881437
CCOC(=C)C=C,5.702637614
CC1=CCCC1C,5.733345869
O1CC2C(C1)CC2,6.507616705
CNC1CC1OC,4.367391305
CC(C#C)NCC,5.501656309
CCC=C(CN)C,5.470015573
COC(=C)C1CC1,5.371572728
CC(C(=C)C)C#C,6.415292207
CCC(=NN)C=C,5.197984024
CC(C1(C)CC1)N,5.747082266
C=CC=CC(N)C,5.466881745
CC(C=C(C)C)C,5.778393254
CC(=CCC)C=O,6.543294333
COCC1(C)CN1,6.073513104
CCC(=C)CN,5.66264257
CCCCC(=O)O,7.545539257
CC1CC(C1)(C)C,6.322498884
CC(C(N)C)CO,5.61071277
CC(=NOC)CN,5.882715611
CNCCOC,5.315462277
CC=C1CCCO1,5.198566021
CN1CCC=CC1,4.833748496
CC(C1NC1)C,6.097721618
CC(=CC)CCO,5.836542111
OCC=CC(N)C,5.626035645
CCC(=C)C(=O)C,6.731915377
NC1CCOC1C,5.491024325
CCN(C(=N)C)O,5.578208072
OCC1CNCC1,5.133593824
CCC(C=C)N,5.686106335
CCCC1CCN1,5.310976968
CC1(CC)CCO1,6.438353215
CCC1CC1C,5.979692034
CCC(=N)NC=C,5.386647163
O1CC2C(C1)CC2,6.507616705
C1CCC2C(C1)O2,4.204756985
NC1CC=CC1C,5.657112289
CC(C1CCN1)N,5.157860842
NC1CCC1C,4.935889533
NC1CC(C1)(C)C,5.153888222
CC(=C)C1CN1C,5.721353969
O1CCC=CCC1,5.891556024
CC1(C)CC1(C)C,5.330147535
CC=CC(CO)O,6.050121777
CNCCC=C,5.272968628
CC(CC=NO)C,6.650509562
CCC(NC)CN,4.86401209
CN=C(N1CC1)C,5.569523119
CN1CC2C(C1)C2,4.66524718
NCC(C(N)C)C,5.278184346
CCC(NC)CC,5.141109177
CC(=CC)C(=N)N,5.781735875
CNC(=N)C1CC1,5.789536485
CC1=CCC2C1C2,5.439136267
N=CNC1CCC1,5.695351163
NCC1(NC)CC1,4.813035287
CC(NC1CC1)C,4.81620966
COCCC(=C)C,6.106003679
CC(C(C=C)O)O,5.932512419
NCC1=CCCC1,5.502454827
NCC#CC(N)C,5.856339955
CN(C(=O)N)CC,5.798180894
CC(C=NN)CC,5.527968998
NCC1CCC=C1,5.459094523
CC1CC=CC1N,5.544348601
NCC1OC1CN,5.918583311
CC=CCC1CC1,6.141726016
CC(C(=NN)C)C,5.312254815
NC1CC1CC=C,4.860856492
CC=CC1CC1C,5.446327614
C=CCCN1CC1,5.776613682
C=CC(C#C)(C)C,6.74985471
CC=CC(C=C)O,6.236074797
CC=CC(C=O)C,6.136191952
CCC#CCC=C,6.366015164
CC(C(CN)O)O,5.70857106
OCCC=CC=C,5.780509729
COCC(C=C)N,5.445686568
C#CCCC(N)C,5.793358544
CC1CCC(=C1)C,5.741683742
CC1CNC=NC1,5.527333122
CC=CCC=CC,5.83476741
CC(CC)CC=O,6.679518493
CC1=CCC=C1C,5.322947399
CN=C(N1CC1)C,5.569523119
CC1(CN)CCO1,5.473702827
C1CN2CC(N1)C2,4.810366692
CC(CC(N)C)N,5.404401813
OCC(=C)C1CC1,5.731748778
OC1CNCC1C,5.261355973
CCC(NC)(C)C,5.126406967
CCC1(O)CC1N,4.34776511
CCCOC(=N)N,6.050231194
CCC1C(C1C)C,5.874268322
CC(C(O)(C)C)N,5.348601653
CN(C1CCC1)C,4.881853271
CC(CN)CC#C,5.700845362
CCNC(CC)C,5.168047973
CCOCC=NN,5.723516186
CCN(C=O)CC,6.195714549
CC(C(=C)C=C)O,5.974109234
NCC1(C)CC1,5.727607502
CCCOC1CC1,5.696656194
NC(CN)CC=C,5.211995119
CC(C=C)CC,6.513165517
CCNC1CC1O,4.427186451
C=CCCC1CO1,6.608977129
ON=CCN(C)C,5.117432756
COC(CO)CN,5.532773089
CC1(C)COC=C1,5.482841476
COCCC1CO1,6.658979192
C=CC(C(=C)C)O,6.423349611
OC1CCNC1C,5.263994173
CC1=CCC(=C1)C,5.215750864
CC1NC1(C)C,5.609640831
OC(C=C)CCO,6.523117733
OCC(C=C)C=C,6.178462168
CNC1CC=CC1,5.09836502
C=C1CCC(=C)C1,6.117038991
OCCC(N)(C)C,5.636032406
CCC#CC(C)C,6.64838095
O=CCC(C)(C)C,6.711601278
CC1C(C)OC1C,6.397373037
CNCC(=C)C=C,5.330822214
CC12CCC(C1)N2,5.462833179
O=CCCC(=C)C,6.186321392
CCC#CCC=C,6.366015164
COCC1CC1O,5.940217545
CCC1OCCO1,6.429611308
OC1COC(C1)C,6.378968226
CCOC(=N)NC,5.885327688
CC(=C)C1CCO1,6.152943317
CCC(C(=O)C)C,6.497252127
CN(C=O)CCN,5.553036167
CC=CC1CCO1,6.129616317
N=CNC=C(C)C,5.073586564
CC(CN1CC1)C,5.673712576
CCCCCC=O,6.834613704
OC1CC1CC=C,5.663596656
CC1(N)CC1CO,4.410853652
C1CCC=CCC1,5.970887595
CCC(CO)N,5.677991705
CC(C1NC1C)N,5.599481074
CCC(=O)N(N)C,5.123155776
N=CNC1CCC1,5.695351163
CCC(=CC)C#C,5.967639887
NCCC(N)(C)C,5.370970431
CC(C=C)OCC,6.407624143
CC(=C)C(O)(C)C,6.317926498
CC1CCC(=C)C1,6.03704855
CCC1CCCN1,5.129037112
CC=CC(=C)CO,5.661775098
CC(C#C)(CC)N,5.964967782
O=COC(C)(C)C,7.356068048
CC=COC(C)C,5.353791983
CC(NCC#C)C,5.444094456
C1CCC2C(C1)O2,4.204756985
